word,score,end
conocer,-0.49964264135416214,negative
muerte,-0.4951864624927435,negative
contra,-0.48902722380869823,negative
bajo,-0.47381871824990696,negative
nuestras,-0.46786686662078303,negative
vacuna,-0.46635590184395403,negative
feliz,-0.46199743844253116,negative
muy,-0.4588921395530213,negative
quienes,-0.45622173230675034,negative
mientras,-0.45604205604007503,negative
deberia,-0.44803252945555944,negative
pais,-0.4465738302420944,negative
socios,-0.44634845708411885,negative
hispana,-0.4456570022261113,negative
pandemia,-0.44326710379452994,negative
desalojo,-0.44325668188471823,negative
salud,-0.4426351586531745,negative
sus,-0.4426176198209997,negative
hablamos,-0.44028757463781965,negative
octubre,-0.4385040145191432,negative
accuse,0.41419423054289184,positive
dare,0.39426547026237324,positive
guy,0.3906630413451514,positive
yeah,0.38867622513935673,positive
probably,0.38848873117120086,positive
stuff,0.38617467826568275,positive
kellyanne,0.3740018015370463,positive
thinks,0.37050986582989154,positive
minions,0.35063283602210177,positive
hillary,0.34992181806824807,positive
soy,0.3472262193449662,positive
evidently,0.34118510058098916,positive
sore,0.3411636700194052,positive
twist,0.34041532195762464,positive
tweets,0.33653370208285255,positive
notonecent,0.33530160761579264,positive
fancy,0.3337137632309771,positive
crocodile,0.3328662204293041,positive
gentlemen,0.3320906293130248,positive
assume,0.3285814323889785,positive
