,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
D_104,0.14082853,-0.4157044,-0.9873537,1.1126535,1.1435573,-0.3835088,0.7207309,-0.1140174,-0.61063886,0.9318963,1.5288202,-1.1263019,-0.82331467,0.2799206,1.5579206,2.3064086,-1.2991467,0.39557588,-0.7045333,-0.50918084,0.9873264,-1.7329936,0.6900258,-0.46285474,-0.6614699,-1.062673,0.9412723,-0.8430609,0.24201111,0.35508406,1.7735734,0.68938005,0.45439908,-0.31161046,0.47744155,-0.91283995,0.3998941,-1.2867559,0.67489207,-2.3837783,-0.5200283,-1.6777896,0.72457194,-0.82371265,-0.1852195,-0.6127011,-0.15892975,0.08571032,-0.1084734,-0.19165383,-0.51705253,1.6120464,-1.1523925,-0.83534956,0.004285592,-0.79309005,-1.4080832,0.584841,-1.9353584,2.3303256,0.4583972,0.040502474,-1.0468178,-0.65294915,0.54022306,0.3555968,-1.912418,0.43896502,2.4372332,0.11238766,-1.6036351,-0.2662713,-1.2185167,0.29690054,1.8160325,0.040874712,1.3398631,0.7935533,-0.32061365,1.5122553,0.85151327,-0.6570176,0.0868418,0.63275874,0.21990052,0.5649951,-1.1240083,-0.23772493,-0.91027987,-0.99146485,-1.8226304,1.0164095,-0.4863013,-0.2716097,1.0885038,-0.04202412,-1.5226214,-0.95458704,0.44675013,-1.5815026,2.2321596,0.13687237,-0.3014187,-0.62018186,0.5961812,1.1015351,0.83774877,0.10602938,1.0897213,0.23618633,-0.16428354,1.1025047,0.63631463,0.7279332,0.4366572,-0.5507512,1.6724564,1.2986504,-0.6579182,-2.132674,-1.7012657,0.3851179,-1.2792562,0.7359223,-0.035417356,-0.7828762,0.8634098,-0.35001853,-0.54817843,-1.2254275,-0.10120083,2.205586,-0.1834843,0.24403445,0.09938649,-0.038254265,-0.99666286,-0.96022314,2.3255625,0.44511417,0.37929735,-0.46023893,-1.6799217,0.05741471,0.18527344,-0.43171886,2.8434508,-0.9666787,0.19482695,0.03348152,-1.5369449,1.779321,0.16969515,0.29820794,-1.2834725,0.35492077,-2.0671227,-1.3022299,1.3752892,-0.5936517,-1.8339736,-0.9603797,1.7402849,-1.720855,-2.225826,0.7644303,-0.98330414,-1.1620967,-0.02742141,0.1714072,-0.672138,-0.3686982,-1.2095498,-0.9192202,-0.22076964,-0.6827136,0.033383146,-1.9644047,-0.22427048,-2.3457906,-0.5877811,0.8943842,0.69851655,-0.3880963,-0.27155036,-0.27009332,1.0870777,-0.9867181,-0.8729123,1.1903187,-0.17292623,0.545172,0.19093966,-1.1582432,0.7870592,-1.0318093,1.0100883,-3.0751007,-0.16155778,-0.20871456
D_55,0.7892243,0.11286852,0.49273208,-1.1070803,-1.263872,-0.050580103,0.38791326,-1.2762126,-0.52118844,-1.782949,0.66488135,0.19867358,0.33760253,1.0392506,0.40967777,-0.85728073,-0.273479,0.36995527,-0.66038924,0.033511408,-0.3363102,0.41247582,0.0047572902,-1.6537851,0.48680916,-0.8052375,0.018757723,1.1049814,-0.63905466,-0.0013173324,-0.15234888,0.26059029,0.419686,0.5802507,-1.1078357,-0.8947487,-0.12789287,-0.24604754,-0.07414088,-0.101815045,0.023837127,0.29106984,-0.014967023,0.4073517,-0.6726526,0.50971174,0.17482413,-0.28239772,0.07333931,-0.31367546,0.16864161,0.8058636,-0.1273956,0.15998739,0.30304572,-0.49025118,-0.55614287,-1.4878539,-0.7609635,1.1531211,-0.36589468,-0.028428735,-0.5014927,0.21962954,0.28437936,-0.6094429,-0.8334185,-0.9549525,-0.23491931,-0.10429308,0.6298951,-0.22865371,-0.73579705,0.4757347,-0.13712056,-0.03535716,0.22326536,0.5982003,-0.21386193,-0.07002747,0.5318179,1.0182577,-1.0038567,-0.16608448,-0.07741317,-0.81569225,-0.8816302,0.61754435,0.05924843,0.11678359,0.93443996,-0.21273445,0.601139,-0.18411215,-0.7759491,-0.1343341,0.16079375,0.007706747,-0.24967256,-0.07935806,0.33775905,0.35281852,-0.31901377,-0.8080468,-0.2375784,-0.20007734,-0.5496032,0.20062225,0.60352796,0.06050697,-0.16855039,-0.9824045,1.4172612,0.4331509,-0.6521645,-0.0116583705,-0.18986624,0.26338622,0.14372605,-0.38617215,-0.64611477,1.031309,0.32014367,0.6361081,-0.47731856,0.5601667,-0.15297508,-0.26285017,0.51943797,-0.5182056,0.24155776,-0.08667667,-0.372124,-0.20231484,0.2567235,-0.5930205,-0.828948,-0.58072114,-0.32748556,0.59040606,-0.3126323,0.060327142,-0.12508118,-0.040303256,-0.011024347,0.25106114,0.7833414,0.084215514,0.667569,0.16572288,0.59156024,-0.58785516,-1.0020837,-0.6306507,1.0113171,0.049069185,-1.2048806,0.04142525,1.2126423,0.11220461,-0.648557,0.73861384,1.4758259,0.20449032,-0.1302881,0.17802972,-1.1440086,-0.8279732,0.45271885,0.0734499,0.34618077,0.24889432,-0.7063747,-0.042695582,-0.75036144,-0.43644977,-1.1843269,0.236063,-0.6803885,0.3265366,-0.15007626,0.8501588,-0.66307294,0.8946775,-0.5760907,-0.8318693,-0.8826326,-0.57496756,0.2538633,0.44421437,0.078331605,-1.042904,0.877368,-0.069835015,0.22223589,-0.14050184,-0.9352223,-0.2316517,-0.46060374,-0.12670629
CONGRESS_74,0.45209646,0.76427567,0.8786497,-0.26503173,-0.6006798,-1.6007428,-1.5689012,-1.132272,-1.2981731,0.6584609,-0.24019857,-0.73030335,-0.114647016,0.63016456,-0.6766694,0.042469695,-0.66024745,1.4597398,-0.5827385,-0.3158722,0.040659953,2.7542331,-0.73366857,0.025907548,0.41085184,0.3684797,-0.6083035,-2.1950183,0.3823136,-0.029224817,0.9734423,-0.54691756,0.9463045,2.1666615,1.4652051,1.3010719,-0.7555795,-1.1507471,-0.16816792,2.8493295,-0.96039236,0.6965229,0.6270827,0.24360365,1.1671562,1.3173509,-0.05888615,-0.6090174,1.2362905,-1.8987564,0.7636912,0.81049836,0.22993661,0.020246545,-0.09992924,0.8218921,0.2786453,0.08508997,-0.28493962,1.2391655,-0.06799043,0.27754432,-2.363986,-0.7545889,0.4003466,-0.22516373,0.47359192,0.34999067,-0.009168005,-1.1133527,0.70623285,0.61489207,0.22949855,0.008208317,-0.1402752,-2.2205937,0.09322372,1.4440625,-0.35471702,-0.831036,1.4389945,0.2042076,-0.004493137,-0.8850651,-1.5699701,-0.30752206,-0.8475308,0.94756746,0.8984532,0.4379673,0.9041479,-1.0068809,2.399682,0.7417368,-0.60628843,-0.8393341,0.088572435,1.2854797,0.291102,0.010468917,-0.06400633,-1.7877238,-1.6785913,0.3270734,0.6244335,-0.45463502,-0.25345716,1.259618,-1.0563571,1.0918822,-0.09574416,1.1301867,0.096826784,0.43798947,-0.97727615,-1.0511267,-1.6586864,1.0525414,-0.94821066,-0.0389438,-0.7620003,-1.2060965,-0.28072703,0.27231884,-1.6981603,0.5912472,1.1648343,-0.2895113,0.8862978,-0.964796,-0.6787228,2.273901,-0.69567007,-0.28090915,-0.5229108,-0.30645564,-1.002894,-2.1977518,2.023719,-0.40063798,1.1124086,-0.58581126,-0.18981992,-0.038869582,-0.7666142,1.0250157,-0.31271473,-0.7510055,0.81711966,-1.0677613,0.24280262,0.29476076,1.1537191,-1.8552653,-0.11363382,0.39661413,-1.7947911,-0.35502484,1.0262271,1.0725988,-0.71795946,-0.76077175,2.214003,-1.80011,0.3897258,-0.17808169,0.4076348,-1.9961876,-0.1371528,-0.481888,-0.694979,1.2982583,-0.8622256,-1.0723941,0.78943557,0.80138934,-1.4849943,-0.41703925,1.160309,0.22044623,-0.24347685,-0.65834826,-2.1774962,-0.2717091,-0.04073714,0.44762513,-0.749478,-0.6759221,-0.11184866,-0.6887295,0.31135747,-1.885922,2.331586,0.5681651,1.5302097,-2.737085,-1.3583189,-0.16570382,0.0737368,0.7211101
CONGRESS_95,0.5947248,-0.90906745,1.049894,0.25276557,-2.3112679,0.7241794,0.973517,0.67825466,0.8645398,-0.55413496,0.86276174,-0.17941903,-0.2570507,-0.2698321,0.6574422,-0.24175212,-0.38380164,0.6306135,0.47790027,-0.7603882,-1.5684855,-0.08266299,0.36874333,1.0257533,0.3164284,-0.1859655,-0.25915784,1.960404,0.07000661,-0.18882667,0.6141558,-1.1210742,1.0789552,-2.0510316,0.90699077,0.6325739,0.23249859,-0.8995385,1.1647196,0.44555262,-1.446291,0.5275524,0.6250104,-0.28157157,-0.67865527,-0.16798374,-0.64622813,-0.92805195,-0.6554678,0.21375725,1.5185549,-2.2877579,-0.1689213,0.07392258,-1.4412631,-1.6145055,-1.2306019,0.02224947,-0.38034356,0.3905792,-0.8113779,0.6993763,2.2318742,-0.8255452,0.71621245,0.19803302,-1.5163783,0.5670771,1.4817653,0.19400768,-0.5869193,-1.141049,2.4258256,-1.8416951,-0.12499701,1.6091243,-0.114913784,0.18472186,1.9956657,-0.6325435,-0.33526006,-1.6075163,0.48162398,1.0598102,0.6415666,-1.2558954,0.74645394,0.15412425,0.942461,1.6943601,0.35624787,0.8410618,0.90031093,0.0017778709,1.0677724,-0.20041776,-0.78446233,-0.016875152,1.0414385,-0.06161812,-1.1697383,-0.97554713,-0.18904641,1.9141062,-1.3913264,1.1484545,-0.30974722,-0.69494414,-0.76302683,1.0849653,-0.632192,-0.83579516,-0.08959339,0.41603982,0.440286,-0.84409666,0.7429439,1.0530256,-0.38510266,0.8259747,0.5528932,-1.121695,-2.0159614,-0.11883212,0.7577875,-0.2862907,0.24435449,-0.37099156,0.37672263,0.42605743,-0.5005735,0.62938356,-0.3470936,-0.6156691,-0.22913818,0.269559,-1.2003365,1.0645326,1.105596,0.6599472,-0.34752828,-1.0737429,1.4545414,0.6478,0.49491844,0.40253347,0.8598366,-0.39097226,-0.58266354,0.28869462,1.6439015,-0.42853758,0.875982,0.21341664,-1.7617836,1.3201367,0.257559,-1.1834793,-0.18994029,0.57892895,-0.38247824,-1.1383802,-0.5143882,-0.06103768,1.2919596,0.41959354,-0.17253996,0.72762036,-0.32408494,-0.13432242,-1.0402868,-1.5021465,0.643525,-0.26887694,-1.177199,0.91566265,-0.88843375,-0.47061768,-0.5991428,-1.117885,0.91821533,-1.4716977,0.32415575,-0.8918601,-0.066966765,-0.7807322,-0.51773286,1.027508,0.10360106,-0.3457267,0.27167758,0.6801034,0.09823555,0.58907306,-0.8640914,-1.769856,-0.48564914,-0.22369026,-0.52528304,-1.0686159
R_93,1.3332864,0.41216952,0.9354666,0.7324727,-0.741123,-0.61274344,-0.65052056,0.7138784,0.63636345,0.14780055,-0.44976708,-0.5732894,-1.4783247,0.2537151,0.6698283,-0.7253912,-0.010245646,1.4026238,0.40614474,-0.7152048,-1.1732941,-0.26048058,-0.9426046,-0.33247662,1.5375539,-0.590609,-0.30760068,1.5865513,-0.7858594,-0.048686866,1.4270505,0.026231097,0.16166185,-0.2309637,-0.7953935,0.67950803,-1.4680407,-0.19737184,-0.18429121,0.2519987,0.7395286,1.3899688,-0.67823917,-0.85371846,-1.1410487,-0.07348005,-0.87825656,-0.9415441,-1.461262,1.0698969,0.87961316,-1.384919,0.14042914,-0.34429294,0.30218992,-0.101366736,-1.2522081,-0.26195732,0.7197849,0.1247018,-0.24052963,0.6379875,0.29493883,-0.3797267,0.5620915,1.6445094,0.73578614,-0.39550722,-0.009499467,0.21523783,0.26471522,-1.6680956,-0.9509167,-0.7747409,-0.7303347,-0.4107637,-0.6204793,-0.9488005,0.1754965,1.2275444,-0.31080392,1.4160701,1.2265805,-0.16837195,-0.18889824,-1.4612561,0.23749329,0.14188243,-0.59537584,1.785522,0.34363636,0.54562706,-0.15598729,0.3044988,-0.41357234,-1.9802392,0.12859002,1.1604792,0.2975256,1.0169955,0.5572505,-0.37801355,-0.8017523,2.3787947,-0.7842793,0.13597387,0.23809212,-0.8055003,-0.09034719,-0.21564682,1.789711,0.23215248,0.80070984,1.3749479,-0.37991285,-0.2292248,0.05183022,0.098202676,0.7507563,0.05350631,0.5720741,-0.5854416,0.14683437,0.14195083,0.8171785,1.3180431,-2.0648725,-1.0922413,0.27822572,-0.454186,-0.6844888,0.08831764,-0.19767123,-1.4104873,-2.1158545,0.073407926,-0.5443699,0.20426323,0.93449026,0.62651885,0.35550922,0.2367249,0.31445265,0.20727621,-0.015121806,1.2539077,-0.27586645,-0.090904325,0.095634945,-0.6147564,-0.16371408,-1.3116432,0.82207555,0.689053,-0.6912509,-0.34372362,1.8870289,-0.4823181,0.18010153,0.6254794,-0.9616,0.9559709,-0.12087471,-0.55866754,1.1339874,-0.54043645,0.6121989,0.8253741,-0.38039246,0.61154485,0.66908455,0.014757234,0.9626821,-0.7273559,-0.18615197,0.71768576,-0.98850024,-0.5655434,-0.3280175,-0.27402452,0.09164093,0.27188286,-0.08579663,-0.24734494,0.71428835,0.7310028,-0.88385123,-1.0817957,0.5540983,0.1952148,0.13578306,0.3271124,-0.63312984,-1.0912267,-1.1248469,-1.2486445,-1.1009179,-0.08812625,-0.6381189,-0.08696964
D_105,-0.7253539,-0.82300806,0.74619037,-0.06801767,1.3784819,-0.028040223,0.6577658,-0.24370442,0.28315756,1.7506244,1.3092693,-0.9847087,0.038973972,-0.2810905,1.0343649,0.4635435,-1.3826637,0.064667545,-1.5745491,0.07331845,-0.94738907,1.0989546,0.36191106,-0.1016054,0.52173114,-0.28203145,0.41752335,-1.7045587,-1.2671591,-0.43001914,1.3027354,-0.33267003,0.22289367,-1.0761354,0.09961737,-1.5568174,0.19875683,-1.7082181,0.38168114,-0.5090221,0.07827216,-0.045377232,-0.39531612,0.25806904,1.0788349,0.5045802,-0.18279064,-0.30580965,1.2304202,1.5834807,-0.6624406,0.095165044,-1.2652676,-0.6316466,0.8687909,-1.0663118,-1.5980097,0.6205638,-1.0157444,2.2935636,0.101046585,1.0058067,-1.4931556,-0.36099482,-0.24632697,1.5221621,-1.8279493,-0.30037946,1.7148533,0.059440315,-1.387229,-1.0974852,-1.1917368,0.24082343,1.4042101,1.0821573,0.4146649,0.5794172,1.3110533,-0.58088005,0.057168573,-0.19973661,0.07128771,1.1218431,0.23811588,0.013650282,-0.9115216,-0.2669583,-0.37842712,-0.6067687,-1.6502153,1.4667892,-0.8518613,0.60519135,1.219735,-0.151576,-1.4927547,0.42797288,-0.762256,-1.9144943,1.9420732,-0.25039095,0.39929783,-0.5623064,0.009566807,1.497814,0.3132093,0.45566824,-0.1278839,0.026757464,-0.9537816,0.5295459,0.84756464,0.47245905,1.4603478,-0.14969996,1.9665384,0.8550928,-0.72948486,-1.2971879,-1.3237795,1.0209239,-1.4566376,1.436375,-1.0764865,-1.7261647,-0.5225292,-1.0469363,-0.22343789,-1.07691,0.03321081,0.072256595,-0.3588225,-0.29661193,2.0351038,0.31473485,-2.2092993,0.103686556,1.675817,1.8695084,-1.21947,-0.5372027,-1.2709374,-0.020495253,0.066900514,0.0026543464,2.1032524,-0.77308017,1.5627626,-0.023526765,-2.077793,1.2488698,-0.34273118,0.6275718,-0.45272714,0.13069108,-1.1647575,-0.6072454,-0.267182,0.33218396,-0.69398737,1.4953097,1.0315948,-0.37897664,-1.2820584,-1.0647233,0.45027718,-0.9279905,0.77245796,-0.11915801,0.087631434,0.923593,-0.5636387,-0.059342943,0.668795,-0.26360348,0.59527725,-0.8851001,0.6362076,-1.0642234,-0.22456844,0.17411622,0.93300444,-0.32233194,0.16404264,0.16664825,0.46546385,0.057793967,-0.5644802,-0.1985043,-1.1157892,0.52367043,0.008569781,-0.24825062,-0.18754372,-0.13963436,1.99446,-0.61463547,0.45554173,0.082421206
R_46,-0.29081345,-0.19523314,0.21718453,-0.03180693,0.6610418,-0.4459244,-0.4777154,0.35080317,-0.26674262,0.81117463,-0.547753,0.69639564,0.36271027,-0.9045293,0.4353239,-0.417142,-0.12145558,0.5079351,-0.029394979,0.24637443,0.20481159,-0.40957177,-0.62741375,-0.44925165,1.2694288,-0.67762136,-0.5523581,-0.9856913,0.10286267,0.5627678,0.432025,0.47551575,0.3702064,0.10923623,0.3181502,-0.21713935,-1.0036291,-1.2099173,-0.11275916,0.73072624,1.2201798,-0.40379742,-0.44013426,-0.31970403,0.3148629,-0.58392495,-0.32005364,0.4487252,-0.52633065,0.22868872,0.19511345,0.096438445,0.5081217,-0.20902327,0.7022431,-0.43513417,-0.086303756,0.7477102,-0.14560954,1.3804804,-0.074331865,0.051560063,-0.12363329,-0.2905672,-0.20929159,0.36195135,0.10386053,0.066447586,0.32587135,-0.69378644,0.874708,-1.3295641,0.59919244,0.8269269,0.169265,-0.42686093,0.10606901,0.13890669,-0.13501774,0.21448985,-0.23608401,0.8294269,0.45439592,0.40898028,-0.34070536,-0.96953064,0.04847347,0.14132808,-0.74199647,-0.6090734,-0.37025064,0.4060443,0.288718,-0.27112588,-0.68029225,0.40531465,-1.0044239,1.008023,0.543686,0.35573196,0.7961727,-0.5356811,0.11749398,0.011875501,-0.15675373,0.70124805,1.3928239,-0.4537493,0.024527404,-0.07434048,-0.25877333,0.935541,0.5068431,0.19381377,-0.37729347,-1.2633561,1.1029918,0.3148279,0.23964909,-0.205041,1.0583642,-0.68905824,-0.1747564,1.2513444,0.9242148,0.66923916,-0.1393744,0.555433,0.15654975,0.12961099,-0.79304576,0.2976298,-0.39248845,0.01915089,0.32781816,-0.16627926,-0.63180065,-0.2394322,0.50794977,0.4470828,0.10481081,0.32955107,0.54518616,-0.93152446,0.7594972,-0.16489413,-0.31220463,0.1084446,-0.03234774,-0.40937522,-0.2916678,-0.039158005,0.15749478,-0.07592945,0.7756718,0.0352599,0.34369066,0.091324724,0.13090171,-0.37136716,-0.15901642,-0.3726984,0.16568972,-1.0523794,-0.16417687,-0.067477934,0.5022267,-0.66281843,-0.02193735,0.8019383,0.5276315,-0.70874494,0.52779365,0.46056134,-0.15542877,1.156296,-0.4012328,0.7448609,0.4307801,-0.63993424,-0.44527787,0.6879766,-0.47547388,-0.042255383,0.91759187,-0.4455679,-0.42339212,-0.11311769,-0.45608535,0.45221466,-0.08262896,0.26589757,0.92597914,-0.7571356,0.3315461,-0.96120876,-1.0061872,0.0046612197,-0.11151083,-0.0753235
CONGRESS_77,-1.1936284,1.3474389,0.9143877,0.7971863,0.62077475,1.4470592,-0.74099123,-0.89390475,0.8011275,-0.5590049,0.20653057,0.40307656,0.0015363073,-0.08970712,-0.3572741,0.07241321,0.3696195,0.977706,-0.37674952,-1.969161,0.10397591,0.93656,0.7920705,-0.8187335,-0.32323098,-0.5059247,-1.1863074,-0.09488324,-0.3892162,-0.6064351,1.3649272,0.6308768,1.6635239,1.3562423,-0.2566847,-0.012642771,-0.39814442,-0.02239312,-2.6162841,1.1165774,-0.006538876,0.3757721,2.1735735,1.7444862,1.2663283,1.2432475,0.8130582,-0.3071402,1.2479007,1.1967995,-0.5100118,-0.13248798,0.46035886,-0.30126956,-0.25067946,-0.7913787,1.6776204,0.4779976,0.9648902,-0.04071817,-0.13943736,0.523158,-1.8699611,-0.029522894,0.33682764,0.42246762,-0.743375,-1.0941539,-0.7703702,-1.1342338,0.47424814,0.88963914,-0.17663458,0.065887295,-0.8132022,-0.930356,-0.36788854,0.23656856,-0.73307556,-0.8397045,0.65587324,1.4827039,-0.3491572,0.20293443,-1.0309502,-1.9278774,0.29980165,-0.5891846,0.6573148,0.5854946,-0.014868979,-0.29748422,1.2883364,0.9581715,-1.1742129,-1.7945455,-0.014900983,1.7757864,0.3634329,1.1177566,0.20234214,-0.3283839,-0.26824245,0.9895034,-0.86177397,-0.041647807,-0.15246546,0.41421294,0.484612,-0.037320886,0.20007437,0.2663821,-0.25763413,-0.060988743,-1.7048154,0.090849765,-2.1319606,0.40904507,1.0188204,0.4437959,0.17139265,-1.123876,0.27845842,-2.417182,-1.5076479,1.4032513,-0.37034428,0.6229804,-0.36566904,-0.9558293,-0.25120357,1.2250063,-1.1572361,-0.07169615,-2.3238227,0.47468826,-1.6330962,-0.81694895,3.2760627,-0.0565337,1.1661776,0.07510432,-0.8203646,-0.64569795,-0.23376547,0.29184955,0.51129156,1.244286,-1.1848953,0.30650833,-1.3610585,0.022552282,1.9753271,0.48747805,0.5275876,-0.52589434,-0.60714316,0.39998093,0.9329254,0.6725669,-0.64232427,-0.42555818,0.6640218,-1.5019732,-0.24134092,-0.5713133,0.8413294,-0.4344331,0.34070998,-0.3506264,-0.66475034,1.7717946,-2.0510526,-0.83456767,-0.7028545,0.1455234,0.3375511,0.21609455,0.64091045,1.2188962,-1.3176293,0.73528093,0.4281829,-1.0927622,0.9786095,0.67803264,0.40965703,-1.3710501,-0.22564338,-0.54117703,0.72343874,-2.0079124,0.5570379,2.06794,-0.2834547,0.14009775,-1.443672,-0.6087852,-0.15367958,1.08674
R_71,-0.090138786,-0.3766871,0.4550134,0.48385084,-0.5282844,-1.2727131,-0.23717956,-0.22426432,-1.0745054,0.36007434,-1.5078144,0.069421224,-0.81905854,-0.049691007,0.71433836,-0.1383463,0.9174733,0.31151608,0.3385128,-0.24020626,0.26933342,0.19792406,-0.47165233,1.1550878,0.8147182,-0.3948505,0.7380489,-0.66504323,0.56976503,-0.10143265,-0.26132512,0.68863994,0.50990546,0.45736128,0.96341634,-0.13237984,-1.2645853,-0.61682326,-1.1165785,0.9238962,-0.10308034,0.6219241,0.14224912,-0.50592244,-0.21890546,0.16984211,0.17743255,-0.10495806,0.79178035,-0.9560082,1.588662,-0.3338472,1.4318409,-0.16759673,0.3820487,0.31561142,-0.22764067,0.86736715,0.2246721,-0.089455366,0.46771207,1.7036916,-0.8173565,-0.07473746,0.09752896,0.44803095,0.27421004,-0.94455534,0.77497387,0.81382746,1.2016528,0.40450928,0.1774123,0.41372654,0.78878206,-0.63685423,0.92140555,-0.15291438,-0.12825766,0.7897896,0.49613947,-0.28455484,-0.43181106,-1.1059364,-2.059105,0.41916865,0.19334768,0.19159761,0.6760126,0.2020535,0.4236941,1.2753991,0.25701854,0.18429564,0.20367046,-0.19381018,-0.8879034,0.15688024,0.2888747,-0.26182508,-0.17639267,-0.02253995,0.08896848,0.4564903,1.3240786,-0.15881842,0.6800406,0.25240186,-1.5483649,0.10572711,0.22470008,1.5776203,-0.046850894,-0.16742674,-1.9067501,-0.45944998,-0.31784835,1.293373,-0.7712492,-0.38790882,0.40933728,-0.6803487,0.46327233,0.038615193,0.3029086,0.84631276,0.065835975,0.08880786,-0.40933508,0.82715356,-0.3487417,1.4127288,0.6467001,0.23320085,-1.3860136,0.4035649,-0.4616624,-0.5232097,1.0104891,0.013205125,-0.18039404,-0.50458133,-0.8373625,0.62056947,-0.4460616,1.8266071,-0.46668178,-0.6382505,0.8780441,-0.008085596,-0.190757,-0.008641547,0.4363778,-0.026700133,0.1714461,0.4509885,-0.3608551,-0.2654552,-0.35713452,1.1426045,-0.98374325,-0.8799859,-0.19044392,-0.5667052,0.5864354,0.20437519,0.79457706,-0.3088185,-0.079549626,-0.245063,0.6074391,0.72959477,0.55387646,0.27169615,0.6451747,0.30898112,-0.86400646,-1.7812101,0.025047628,-0.68919057,-1.0760344,-0.26201397,0.27128878,0.21438384,0.5443459,-0.2677444,-1.1903272,-0.06400162,0.2693933,-0.25644696,0.37859678,0.8178098,0.8522397,0.2444195,-0.6331236,-0.47778946,0.09951255,-0.297592,0.22011936,-0.114628464
CONGRESS_45,-1.0985502,0.4930637,0.8218808,-0.7273642,2.0341775,-0.26218075,0.074208684,0.1474607,-1.4863929,-0.49967977,-0.8895477,0.461095,2.2397377,0.021384547,0.75954294,-2.1391954,-1.3992989,-0.16525932,-1.2916085,0.4954769,-0.5421826,0.96289366,-0.96241605,-1.50341,0.18950011,-0.26346573,-0.1695137,0.08166774,-0.38733068,-1.0589831,0.82709676,-0.024359567,0.6278419,-0.43417963,0.80867314,-0.117993265,-0.8264208,-1.8862256,-1.0982443,2.5113058,1.500094,0.70008236,-0.19614668,-1.1016386,-0.4930971,-0.57066834,-1.7150677,0.5458122,0.17849164,0.8443349,0.18544742,1.132572,-0.86811495,-0.31369874,0.73303676,-1.8636509,0.24058816,-0.22995791,0.5912231,1.0903996,-0.64980143,-0.50426906,-0.62116617,1.5003726,0.5380342,0.74746346,-1.058653,-0.49268696,-0.7457455,-0.17249393,0.42422244,-1.5507114,1.4221588,1.4277468,-0.6478145,-0.37164044,-0.3624013,-0.5747194,-0.4833652,-0.9675667,-0.9331277,0.30131942,0.3119036,0.8763871,0.7329088,-1.9290781,-0.664261,0.30237055,-0.6738178,-1.1136012,0.6012313,1.9296438,0.59051526,0.44772694,-1.6239965,-0.22876413,-2.5394266,1.7382221,0.544067,-0.23802237,0.56250936,0.5444314,-0.18217565,0.1511033,-0.54749626,0.1273237,0.76756,-0.94906825,0.7249626,-0.023097815,-0.1721837,0.48046687,0.42300642,0.10966911,-1.2253013,-0.88450676,0.73002857,0.78423715,0.38397452,0.21430029,1.1607465,-0.15422262,-0.4410755,0.5474769,1.0506314,-0.64356965,-0.7748531,0.6816862,-0.33995867,-0.11546468,-1.0346401,-0.55434316,-0.46286455,-0.07948157,1.7409639,-0.090156116,-2.1302748,-2.022148,1.3674386,0.7133716,-0.13755219,1.0994812,1.3449355,-2.4094212,3.1384635,-0.27060372,-0.068118826,-0.22166525,-0.58018,-0.018224904,-0.06741895,-0.07585727,1.2056322,-0.5512784,0.3197526,1.034065,-2.06201,0.040088978,1.2946814,-0.33502862,-1.0925903,-1.6353182,1.3639555,-0.14137426,1.1067454,0.1573746,0.1530149,-1.7610912,0.03354463,0.7575669,0.6064429,-0.02599835,0.7636893,0.30435282,0.18472144,0.7439697,-1.6917682,0.47502473,0.0604088,-2.102003,0.08427666,1.8434914,-0.21368076,-0.25830242,-0.3341304,0.7556711,-1.179603,0.24537468,-1.589,1.3843334,0.24338192,0.2772189,2.1791022,-0.3309665,1.3550038,-2.0765886,-0.9607462,-0.45719576,0.42717457,0.3553356
