,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Con_37,0.18833978,-1.1811591,-1.3003736,1.1139221,0.39816868,-0.3926482,-0.7205371,0.382537,1.1191958,0.92395324,1.188888,-0.8061677,-0.23416321,0.50479484,0.09697529,-0.43865472,0.83115906,0.24304384,1.4904292,1.3805761,2.2115712,0.10403602,0.18380645,0.4893631,1.2988559,-0.16072717,-0.3487821,-2.2620761,-2.7572017,-0.13670057,-0.645395,-1.1953701,-1.0366611,0.7101253,-0.33943012,-0.050185107,0.48774663,0.44240624,0.44588187,0.70153075,0.4893348,-0.42026627,2.200043,-1.792278,-0.31815788,-0.9214352,-0.22638305,1.1634585,0.8563854,-0.122715935,1.8061941,0.6743088,-2.225417,-0.25283232,-0.037798803,0.40624213,-0.24424584,0.4911224,0.27001598,1.5191876,-0.47492182,0.46053332,0.8386193,-0.05597702,-0.0750526,0.75754917,-0.2876669,0.4452543,0.27650914,-0.054626055,-0.86212623,-0.15410575,-0.28596035,0.104711175,0.50638354,0.35247815,-0.18671557,-0.6120855,-0.14767449,0.2606529,1.7164371,1.2163745,1.786227,0.80047506,0.55891335,0.8284363,0.029010976,-0.25403538,0.16624969,0.53939956,0.52237624,2.0253227,-0.39916578,-0.8578201,-1.4925659,-0.93505836,0.65704775,0.42457214,-2.8056235,-0.992404,0.11482359,0.73522913,0.41969833,0.36929303,-0.78095365,1.7217469,-0.80179346,-0.80245644,-0.73984325,-0.51944846,1.233594,-0.3119573,0.06270562,0.19123048,-1.8382468,-1.9802399,2.1276355,0.0017413022,0.5163285,-0.552419,-1.3600552,-0.23304854,-2.7420185,1.0580355,-1.3153812,-1.697573,-0.56845486,-0.93359804,1.6842822,-0.27388656,-0.724685,0.107910395,1.3387744,2.651521,-1.0650505,-2.6440241,0.3894506,1.9793806,-0.77297866,0.49398792,-0.29976806,-0.8720963,0.53741753,-1.0493681,-0.634856,-0.5304099,-0.40896866,-0.25415578,-0.9501739,-0.33809638,0.97599804,-0.94629353,0.008624041,0.26142508,-0.05569462,-0.5074756,0.10556291,-0.38852555,-0.7106607,1.6414429,-0.4198285,1.1197461,-0.11444419,-0.024795825,-0.46101826,1.4045038,-1.5846604,-2.0132434,1.9085426,-0.49525592,0.20174319,-1.540925,-1.8441093,0.17657962,0.131119,-0.112238996,0.08740527,-0.9660105,1.1550065,-1.891371,-0.36746335,0.57913154,-1.0041724,0.9408965,0.42392698,-0.6034324,-0.9421529,0.32386047,-1.8839514,0.8460182,-0.05759728,0.9124697,0.93385607,2.0951889,1.2953285,-0.3889888,-1.670149,-0.15547802,-0.6947334,0.32791308
PARLIAMENT_52,0.20367874,-2.343799,-0.6833776,1.287876,-2.1781893,2.2043452,-0.086682975,3.1174135,3.0353467,-0.4111945,2.4358091,-1.2702402,-0.75278956,4.754776,-1.0522902,-0.30530816,2.0022798,-0.6869186,-3.5869477,2.296382,2.3050435,0.62824035,-0.9942439,3.8523126,-0.5083784,-0.6431805,-0.11826619,2.3906176,-1.4146876,0.47702736,1.027314,-0.39002743,1.1717396,-1.5993885,0.5190994,-0.52142495,-0.37859112,0.5334769,-0.4583351,-1.3548478,1.7071438,-0.5988158,-0.224205,1.9489133,-1.6925837,-0.21227536,0.4726102,2.3557017,2.264927,-0.5198134,3.4658463,1.3897662,1.3623668,3.048446,1.2326938,1.3208854,-3.3804681,0.834396,-2.6352344,0.8629195,-0.68075955,1.8773081,1.1142689,0.87422085,0.9554693,-0.21115775,-0.9746085,0.9447252,0.09071688,1.9720663,-1.4483646,-1.5488535,-0.85783046,-2.3438902,0.0017810569,4.2706637,-1.5657805,1.7343868,1.3530173,3.8530262,-3.3413246,-2.408578,0.5899745,0.6687699,-0.62423384,-1.2402556,-0.74417037,1.8217111,-0.8788427,-0.3371334,0.75494665,-3.798304,-1.0507443,-0.10703008,-4.042725,1.0349135,0.55209047,0.37646282,0.74935573,-1.7010595,-2.686085,0.6501158,1.6702328,1.5193055,3.107281,-0.24101499,-1.4538872,-1.9624004,-1.4058049,-1.450362,-0.7568953,4.076676,-0.6380084,-0.053701837,-0.84837776,0.23824963,-0.69071376,1.7422605,0.6778829,-0.05084991,-1.8593671,0.53370833,1.2616888,-1.0663943,3.3242848,0.07933272,-0.1163618,-0.67222536,-3.3912678,1.7461284,-2.4221718,-0.36447012,1.010042,0.8749463,-2.0429237,-1.4169185,-0.58581555,-1.1735741,-1.1279354,-3.4470177,-2.6740532,-1.0970631,1.9525288,-0.7109762,-2.1522696,2.0668416,3.2847493,1.214022,1.2016177,-1.0417255,-0.00901741,-0.80738956,1.7781738,1.7317675,-3.8583722,0.3053589,0.38949817,-0.7874113,-0.17547952,-1.5993485,1.2232566,-2.5719762,0.8360722,-1.4869463,0.20812699,2.170417,-0.37964085,1.5426545,-0.24729429,-2.5453613,-0.17388609,-0.7471547,-0.6838988,0.18261895,2.6593761,-0.64149535,-0.39637202,-2.9669087,-0.12970145,0.024642877,0.83993745,2.0625973,0.9841122,1.0133561,0.36278266,-0.07470077,-0.46295115,-1.3338805,0.42208225,1.5986916,1.6316471,3.309738,-0.42600763,-1.364546,0.6386883,0.37095675,1.4039068,0.7294611,0.46524134,-0.54204595
PARLIAMENT_51,-0.050012548,-1.0794113,-0.41629168,0.97702825,0.7665822,-0.5829845,0.6610388,2.3535252,0.24340636,0.61132395,1.1684644,-0.1230891,0.7667815,0.3902437,-2.7093248,-0.5984521,0.5584007,-3.3701386,-2.2159803,-0.13248959,-0.21951775,-0.3938387,0.55319285,2.4080472,-1.2940966,-0.6972919,-0.93194443,0.20582438,-1.7063462,0.7320824,1.5505364,2.683667,0.2311733,-3.4759045,-0.19644548,-0.82254547,1.1236055,-1.5319022,0.07849984,-1.4741488,-0.004763587,-0.29063407,1.0144881,-2.2230477,0.18385892,-0.9593796,-2.0041416,1.2979167,0.46147132,0.4766913,-1.9169354,1.3258829,1.6976866,1.8395374,0.7368734,3.5891664,-1.9509585,2.2134755,-4.2289844,-1.8651537,-0.70852554,-0.4625269,3.5228467,-0.13675302,1.4102294,0.86704487,-1.1272994,-1.4160043,1.7803912,1.9810448,-1.3182778,-1.0162374,-0.9510131,-0.633897,-0.41650227,1.1818646,-0.0349625,3.0531874,0.33430827,3.8279521,-2.3216007,0.32153794,-0.13730437,0.60708535,-0.3898142,-0.5040464,1.9260322,0.87363946,1.1125413,-1.4725947,2.1107457,-1.7322094,-1.8431138,-0.11716559,-1.037575,-0.23646301,-1.2547449,-0.8993964,0.18105207,-0.7419059,-1.6199172,1.996481,-0.9458285,1.1319003,0.84220123,-1.2937764,-2.0398078,0.32617727,0.072063334,2.9160552,0.57065463,0.88269347,-1.1826636,-1.836976,-0.8528287,0.6772475,-0.18742445,1.0898482,1.9037125,-1.0054979,0.30514896,-0.2599661,1.8318316,-1.8542986,0.88176084,1.3176581,0.4500093,-0.26910287,-0.9570207,0.6437256,-2.3798015,0.48278984,-0.08890031,0.32446757,-1.377735,-1.7357498,1.2449962,-2.6302645,-0.66833776,-1.4579,-1.3055307,-0.18870914,0.9763856,-0.38509643,-0.79885304,1.2563726,1.7942787,-0.76709735,-1.0905426,0.13241808,-0.3566711,1.1313766,-0.18608476,-0.2441154,-3.1286833,-4.130079,-2.0785768,-0.9447157,-0.24327578,-1.99179,0.7121563,-1.4375075,-0.75212324,-1.9698639,0.08470231,2.3789585,1.432816,1.6413399,-2.2327929,-1.4599992,-0.09072994,0.49351957,0.71294004,-0.99114484,0.13979208,0.36220035,0.478954,-2.1505764,-0.40987912,0.97739136,0.19460598,0.4504241,0.2999463,1.774874,-0.034043252,0.6914326,-1.0286388,-0.18332238,0.7548341,1.4489812,-1.9911656,2.1051388,0.8831103,-0.79059196,1.2147678,1.0745801,-0.54752433,-0.32762125,-0.24180241,-2.0361574
Lib_49,-0.25260922,-1.760349,-1.0570624,-0.12224492,1.429168,0.5197022,0.8919451,-0.23802161,-0.15873872,1.147387,-0.6887541,0.001758233,-0.44399494,-0.24849558,-0.94118315,0.5581326,-0.7291374,-0.4071237,0.22201674,0.28016895,0.094473146,-0.6212603,1.2051024,-0.68477285,0.39184073,-0.95362556,-0.60470355,-0.28855455,0.22327659,0.39833003,-0.7759574,0.77012104,0.028746096,0.7399494,1.1787271,-1.3661609,0.040251594,-0.3265982,0.013656304,-0.43294352,-0.3225778,-0.48458833,-0.63984215,0.5586658,1.0146606,0.1983594,0.11382343,-0.47795945,-0.60237056,0.2712484,-0.9607535,-1.299891,-1.1370924,0.17307904,-0.58432084,-0.06194846,-0.8206861,-0.21179624,-1.4262168,0.95845294,-0.11560212,-0.7564647,1.6463478,0.73546416,0.5305337,-0.5480942,2.0535362,0.7063619,-1.4011997,0.78870827,1.5275385,-0.7456819,0.33784464,0.10000758,-0.2025805,-0.56603676,0.42633057,0.697045,0.40835896,-0.47828233,-0.21571052,-0.7691977,-0.3686287,-0.76543933,0.13336337,-0.08689882,-1.9821684,0.23723648,-0.5683627,-0.57998234,1.9121954,-0.0035784284,-0.8865576,-0.17545575,0.68453485,0.18595278,1.231054,-1.0979896,0.74949384,0.06559331,-1.2650349,1.8698179,0.67667276,0.21260594,0.8582942,-0.22019961,-0.6355805,-0.82651925,-0.8223971,0.21067254,-1.495505,1.191786,0.17771474,-1.5913393,1.9739169,1.4511695,-0.51204187,0.53558403,-0.2682423,-0.6663966,0.27803823,0.9998424,0.034626573,-3.315174,0.036446095,-1.7008884,1.5928466,-0.47630218,1.2194294,-0.7334074,0.10502028,-1.1742281,-0.69616646,-0.19579977,-0.6582677,-0.30257952,0.40125647,-1.5535609,-1.9774545,-1.364331,-1.3153965,-0.09616083,0.10274402,0.35210815,-0.45244193,-0.9029444,-0.015329985,-0.1581039,0.6007438,0.5355009,-0.27212444,0.7020019,-0.15246703,-0.16514827,0.88688374,-0.4535701,1.18163,2.5649407,0.44520405,-0.8708391,0.6721913,0.73547673,-1.0778241,0.6176742,-0.9545968,-0.5078244,1.601762,-0.30943307,0.6848034,0.317255,1.1799061,-0.62844115,-0.9802908,0.29680136,0.44075027,1.203031,-0.39771286,0.21130028,-1.7795428,1.7452018,1.1716465,0.43529928,-0.033827312,-0.915116,0.043536842,0.77898306,-1.5078055,0.5009447,0.61103386,-1.5152055,-1.2815726,1.23032,0.9257223,1.0501024,1.748109,0.11311553,0.091163635,0.71865857,-0.53331494,0.030379655
Lab_51,-0.48524338,1.2234979,-2.021748,-2.015382,3.5482924,0.8594623,-0.4703703,-0.33983034,0.6616995,-0.09773691,-1.2841946,-0.0946878,1.4788046,1.5905051,0.5682381,-1.4938983,-0.040203482,-1.2005655,-0.8495174,2.1897693,-1.6518763,0.9605314,-0.8773299,-0.58744144,0.20659567,1.9047269,1.7849493,0.82039917,-0.9538697,-0.8925555,-2.9829986,-1.5675876,0.03852844,-1.5723933,-0.4230395,-0.3695499,-2.1252284,-0.87803495,0.46037552,1.0311399,0.41514212,0.19631721,-0.45790127,-1.1396047,-0.48063552,0.7060721,-0.74998766,0.6048019,0.47446918,-0.14045566,-1.4278152,-1.1168624,-0.26571274,-0.2762573,0.17595705,-2.5928564,2.3905227,-0.7767097,-2.1021497,-3.0437949,0.50111014,-2.3256338,-0.19877361,2.417837,-0.25997892,-1.6279176,0.56824756,-0.89283866,0.0038296445,-1.2658225,1.6763351,-0.86351556,-1.5421157,-2.198759,0.14823325,0.27137372,1.5110735,-0.65023917,1.3629962,2.8607738,0.62230915,-0.5399717,0.53032696,-1.2912375,-1.3762265,-0.98044723,-1.0190821,0.05233457,0.4612805,-1.0570946,1.4795387,-1.2283539,1.3732989,2.1344924,0.52318907,-0.88323075,-1.2259097,-1.099808,2.406639,-0.16370128,-0.10212969,0.18089236,-0.10846962,-1.4682242,2.708767,0.8267475,0.08989768,2.1609404,-0.3488912,-0.7670412,-0.24721074,3.8017063,-1.0540987,-1.490793,0.73118603,2.1678548,-1.4531357,0.54385585,-1.382829,0.20065354,-0.6340837,0.35522267,2.7608032,-0.01777021,1.4642693,1.2805678,0.3770761,-0.17104827,-1.3292687,1.8580091,1.3344826,0.29956216,-2.3062086,-1.1991172,-0.9865114,0.86109304,-1.2027705,-2.6835616,0.03214846,-0.88724685,0.38211307,-1.8641652,2.2047904,-1.4388994,0.1228252,1.2492831,-0.23599707,-1.8599253,0.5486162,0.023531826,0.56571954,-0.34475908,0.6379853,-2.0770988,0.69658804,2.5273955,1.219333,-2.1615222,-0.17808881,-0.19079244,0.28283203,0.703393,1.415124,0.83901775,0.4286043,0.46890363,1.1275258,1.557419,-0.11457349,-1.3984649,-1.868595,-0.3609726,1.1878988,-2.6953647,0.6121516,0.4668332,-0.4369856,0.3559997,3.583279,2.6277263,-0.291655,-1.3364124,0.701315,0.6224422,1.9945644,0.37399498,0.052436177,-0.43032226,1.5939436,-0.17056178,-2.3700032,-0.6203563,0.70199966,-0.28761327,-0.44337618,-0.8273683,1.7145965,-2.3270164,0.27744386,1.1301981
Lab_53,-1.6445372,1.6528695,-0.9211823,-0.08904503,-0.7358258,-2.3065245,0.34813192,0.8523418,0.17298405,-0.53305143,-0.68506026,-0.70955783,-0.59655607,0.11396298,-1.247979,1.3394282,0.41391596,3.546158,-0.8472007,1.141945,-0.0710227,2.1414263,-1.5291417,1.2820016,0.07570468,-0.89918053,0.68304366,-0.5721852,-0.8821328,2.0009177,1.3262926,0.77057827,1.0779786,3.114316,-1.0317276,1.2043068,0.5783537,-1.0024837,1.236853,-1.3898903,0.97292006,0.82532245,0.57263625,0.059356038,-0.3936924,2.4892874,-1.3490559,-0.3156574,1.9841963,-0.018279482,-0.24744347,0.8508707,0.03643388,0.69009155,-0.5159191,0.24640419,0.8121714,1.6257735,-0.3166188,0.18005098,-2.1923227,1.1482315,0.2705111,0.9068922,2.4606535,0.21119316,-2.3288882,2.3694544,1.119277,1.4562842,0.9890122,-1.2505224,-1.9043181,-1.3230656,0.5793798,1.6845274,-0.9458849,-0.06516091,-0.31822836,-0.47940105,-0.029893635,1.838337,1.5687718,-0.2850556,-0.552596,-0.9681803,-0.52651894,0.2454823,-1.4971176,-1.1226883,-1.5291555,-1.3435304,-0.9911504,2.2774582,0.5584571,-0.6066478,-0.6380281,0.7494509,-0.073669195,0.79819953,1.2181028,1.281113,-0.3312859,1.9865847,2.007239,0.831343,0.25413746,-0.0497288,-0.93168074,-0.24105212,0.42861116,1.1520628,-0.40562552,-2.268008,-1.7113354,2.6148455,0.41604385,0.99080336,-1.1552954,0.8094246,0.07577647,-0.21487609,2.2494552,-0.8263076,0.32408598,1.5290297,-0.06953901,-0.7553779,-0.6153652,0.27612728,0.13413973,0.30076063,-0.71656555,0.11413442,0.30628175,0.12897259,-0.93974674,1.3759379,1.731869,-2.1249366,0.81863964,-0.569431,-0.7908733,-0.33207008,-1.2463634,-0.0064095976,-0.2985553,-0.7206498,1.9353669,-0.95371026,0.12245534,0.42596823,2.346934,1.1791644,0.23137486,1.0643163,1.2528293,-1.2510211,-0.30738735,0.4373474,0.35020563,-0.68192047,-0.304727,1.5374163,0.5295514,0.5837219,-0.15437107,-2.3074186,-1.5780753,0.70771,0.43727747,-0.92656064,-2.5280166,-0.026356546,-0.97458744,-0.37842172,0.30623576,-0.08122983,0.6625816,2.0094867,-0.41080832,0.32060513,-0.79505527,0.06274896,1.8519813,0.52960646,1.3518884,-0.5272342,0.12195353,-0.48698798,-0.1463138,-2.2840798,0.7023378,0.36590958,-2.1979682,-0.61754596,0.17299539,-0.4714554,1.5086731,-0.8357773
Lab_41,-0.56943715,-0.17135222,-0.96034056,-2.2266836,3.5258825,0.063480295,-0.23860832,-0.06034343,0.9250726,-1.4031587,-0.008190598,-0.26322836,2.1229832,-0.6146986,-0.2844706,1.0139942,0.967114,-1.1175262,-1.5636528,0.02980132,0.10241659,-0.40451708,-0.3255428,-2.4130332,1.2187673,0.46501046,2.2919495,0.85875785,0.48053774,-1.5832479,0.2852019,-0.57778996,1.2671934,-0.30855086,-1.4879402,0.73373663,0.15572746,-0.2706757,-0.73638004,0.2131878,1.0845076,-1.6966884,1.2001323,-0.18082403,-0.3612586,1.2812468,0.94256544,2.7542424,-0.6315685,-1.2183479,-1.9270563,-1.0786818,0.14906894,1.2917943,1.968673,-1.690031,3.1859715,-0.120389245,0.6108073,-1.6908932,0.4432336,-0.73600775,-0.86701715,0.34578058,0.615197,-0.939951,-0.0571833,-0.82338774,-0.012132636,-1.6669154,2.706724,-0.25822312,0.6435232,0.5894575,0.30901158,-1.2257234,1.6736398,-1.069278,-0.035931926,1.2587564,-0.2973852,-0.061257012,-1.4186032,-0.17489876,-0.48621175,-1.1415975,0.49645814,-0.111048885,1.564694,-0.3746375,0.3435468,-2.1082332,1.7313384,0.16848321,-0.21000674,-1.3649786,-1.4825199,1.5947545,-0.21733184,1.0971595,-0.30076396,0.55396855,-0.34522957,-1.9863105,2.282374,-0.19345129,0.26177445,1.1648024,0.5946566,1.1834426,-0.59921044,3.0884986,-0.5240484,-2.7409575,0.35591426,1.4580722,-0.11150758,0.18630075,-0.22569613,0.29817155,0.79726,0.30670476,1.2252468,1.3895289,-0.58455414,0.88455075,-0.19363317,0.50260574,-0.5278063,0.33427656,2.2646933,-0.48010227,-1.668027,-0.20071794,0.22790168,1.6166257,-1.0639321,-1.8970973,0.8185976,0.31419155,0.6467317,-1.117865,0.6583357,-0.29342282,0.8234619,1.4815935,-1.4744585,-0.5894475,-0.61904556,-1.3743191,0.6527312,0.02167955,-0.60497946,-1.6226106,0.9180838,0.83809614,0.41278782,-2.2921,-0.72162557,-0.054197676,-0.6710112,1.9469396,2.0546646,0.7760807,0.4143859,1.143011,0.938791,0.5549281,-1.8101372,-1.7069362,-1.7978545,0.4863617,-0.54720676,-0.44195405,-0.5108466,-0.2956964,0.32400152,0.7194129,1.3442771,2.386406,0.42853653,-1.7656817,0.60327435,0.26891175,1.7932884,0.8144768,-0.7035705,-1.2458903,1.7484777,-0.38998562,-0.6025078,0.16884266,-0.6728331,0.1444353,-2.1313217,-2.6665735,1.710832,-1.4969501,-0.7559289,-0.011452402
Con_51,0.9444123,-1.0836933,0.6076395,3.6274536,-3.2501779,2.0345554,-0.3087421,-0.66143227,-1.5772182,0.25748977,1.2902876,-0.69751143,0.22106256,3.2246246,0.8461367,-0.67330915,0.35427102,0.008126653,0.43726912,-0.5916438,-0.08111091,1.108989,-1.6005993,-1.4727345,0.6977468,0.0008164763,-0.76792943,-0.3426199,0.06527031,0.1983237,1.7776449,1.3256893,-1.7520396,0.73112935,-0.5553463,1.9762462,2.4317687,0.3634945,1.1897584,0.7290799,-0.5618315,-0.3227171,-0.5718342,-1.0576121,0.6072136,-0.5673327,-0.35877424,-1.3960004,1.9186678,-0.8238696,4.1485286,2.369734,0.31005615,-1.9037637,-1.049965,1.4532896,0.5230236,-0.102573745,-0.035571724,1.716735,-0.73731524,3.4706407,0.2203605,-0.70543987,0.46793675,0.72752684,-1.1751169,4.195054,0.8602541,1.3602937,0.42691132,1.0708225,-0.50618887,-0.48535678,-1.2929475,2.2292383,-0.00423209,0.45179078,-0.20940268,-0.54255474,-0.8692472,0.17012016,1.8040483,-1.2588563,0.91289264,-1.7598023,0.94348097,1.4748564,-0.4957043,-0.7928471,-0.89143986,0.009268692,-0.92679816,-1.1987058,-0.5591954,0.6814244,-0.29189467,0.40251088,0.42970347,-1.1818373,-0.622927,-1.1598266,0.70047843,-1.4238695,-3.311265,0.8072781,0.049022526,0.8680505,-1.8280761,-2.5381768,1.2305603,-1.6640677,1.6043639,3.21818,-2.6278677,-0.034247905,-0.112638965,3.0623844,1.6135842,-0.40185508,0.6004432,-1.058648,1.1052847,-0.024112144,2.511176,-1.0566472,1.2885282,0.02177753,0.5212718,1.6446085,-0.6748565,-0.44574648,4.1354656,-0.69252753,-0.9742171,-1.8683751,-0.13440336,2.0380726,1.2961181,-1.5969883,-2.0644183,-0.4031282,0.12807006,-1.3652867,-2.5916464,-1.225572,2.1028051,0.022781838,-1.5125042,-0.4030159,-1.5255194,0.90646833,0.67666596,0.4365358,0.80116856,-3.181667,-0.36573908,-0.17156,-0.81634235,-0.37496963,0.3141098,-2.7631955,-0.91382504,-0.12726566,-1.5354372,0.65142846,-0.3153561,-1.7815802,-0.5844287,1.390663,1.6527326,-0.107484795,-0.42647496,2.8192954,-1.8686819,-0.05457352,1.7320048,-1.5095687,-1.3121895,-1.2913944,-0.9565627,1.8066001,1.5489411,0.81702065,-0.55251837,-0.4569943,1.577843,-1.6488526,-0.7136006,0.31274238,1.3658189,1.9027103,-0.14387,-1.4935713,1.3348972,1.4992985,-3.3421965,0.32762823,1.5775055,0.46656337
Lib_55,-1.197321,-1.7932171,-0.09892571,1.7386184,-2.0390956,-1.5092343,-0.15102103,0.6210389,-0.79259944,-0.21280408,1.404324,-0.5805646,0.2607212,0.07033604,-0.6505203,0.28165957,0.49401185,-0.5345151,1.4507989,0.5131603,0.4523623,0.47642738,0.7836622,0.41653195,-0.9735845,0.12610227,-0.85122246,-0.45069382,0.04354134,2.0814345,0.42705175,-0.16071305,-0.6737839,0.36213908,0.3493622,-0.7716118,0.04118097,0.3749197,-1.7901766,0.005575633,-0.082958125,0.8320887,-0.4673303,0.7368286,0.24914114,0.39304334,-0.4569057,0.010403168,-0.59895563,-0.17116192,0.3943593,-0.4782956,0.85837924,0.8265225,0.30767795,0.36881772,0.22668716,0.2032097,-0.85408145,0.3945735,-0.9156326,-0.083752334,1.134205,-0.87376785,-0.45721248,0.019970953,-0.5103041,1.5841858,0.06921614,0.6023981,-1.5479474,-0.31422228,-0.7016784,-1.2423159,-0.97457385,0.052299567,-0.6288863,1.0339599,0.9168208,0.9419083,-0.9101734,-0.22951548,0.6568548,2.0464528,0.107892916,-0.3990327,0.32895702,-0.57739305,0.77635133,-1.3608872,-0.086653836,-1.6317238,-1.6147265,-0.17643982,-0.41807687,-0.97537756,0.38261268,-0.09444098,-0.032599248,-0.7197781,-0.98492765,1.5204386,0.1282413,1.168571,0.3102914,0.12121775,0.27853343,-1.0492907,-0.33013344,0.43069953,-1.2992865,-1.0529011,-0.47862375,0.46254033,0.16198295,-1.2207978,-0.43624842,0.41736135,-0.26591608,0.22397366,0.422927,-0.019738056,0.71253633,0.62115294,-0.73311234,-1.1088289,0.48004055,-0.0073249005,0.5598129,0.085448265,0.79292315,-0.15495004,-0.24534592,0.04538104,1.48169,-0.75685424,-1.4124117,-0.0759224,-0.07070392,-0.27770472,0.26971272,-0.2036898,-1.3358744,-0.9503984,-0.2924901,0.1638661,-0.1853896,-0.6377512,-0.22066158,1.2546061,-1.0401611,-0.9967153,-0.4522217,-0.20246083,0.15236177,-0.4791009,-0.8689025,-0.36712152,-1.4156872,-0.88491386,-0.29530653,-0.025363658,-1.2973125,-0.22622159,0.100947745,0.34473598,-0.4541821,0.57307136,-0.12798564,0.12892142,0.3100462,-0.22582935,0.28886244,1.7513398,-0.4848881,-1.1042755,-0.8253561,-0.49118105,-0.56765467,0.43083864,-0.57725275,0.99103016,-0.48094073,-0.043298602,0.88435173,0.3859163,-0.2022363,-0.6699285,0.5156904,-2.116061,-0.16799623,0.41894525,0.19373946,0.33994702,-0.04562241,0.47216302,0.4598441,2.0686493,0.97642404,0.3452526
Lib_41,-1.0629302,-0.6490864,1.2513199,-0.9794304,-1.14866,-0.51499873,0.23914742,-1.1134171,0.018311987,-2.2102652,-0.021993967,0.34441093,-0.1874827,1.3007575,0.29821956,0.076290034,-1.0966092,-1.7936746,-0.008692522,-0.6986996,-0.23457809,-0.5602082,0.29775274,0.8467964,0.15362176,-0.9360596,0.29972056,1.3102674,0.7945603,-0.92002666,1.179889,-0.39863172,-0.46831754,0.40016913,-1.448403,1.6109992,0.91231275,-0.1995582,0.085196085,0.4437405,1.7151362,0.12662698,0.25236645,-2.0484567,0.51061326,1.1808732,0.2962865,0.41784295,-0.67912626,-0.7962763,-1.2024736,-0.83442456,-0.12534423,0.38701934,0.40690026,-1.9332962,-0.37906495,-0.6025842,0.62107193,1.2127931,-1.0305278,0.46171087,0.11123492,0.46713325,0.93698925,0.6034198,-0.7757776,1.0541207,-0.28746912,-0.3937127,0.9037051,1.2517571,0.9530929,-1.5944109,-0.45376575,-1.6800988,-0.74532074,0.18795688,0.41057542,0.64116573,1.0097108,-0.63125926,-2.7653115,0.35379967,-0.33463028,-0.5222953,0.04456966,-0.3032628,1.1119142,0.78274333,1.0573473,-1.0114679,-0.39630076,0.41866964,-0.95633733,1.6689467,-1.3047552,0.21037178,0.15345156,-0.86241335,-0.7313478,0.09942038,-0.9650114,1.1406494,0.896109,2.0194235,-0.6337412,0.5741816,0.8709767,0.91218215,-0.107266776,-0.0838808,0.9922437,-1.317215,0.6236476,-1.9738135,-1.1357021,-0.41953033,0.11924173,1.0271045,-1.9588723,-0.34137315,-1.8812952,-0.36060798,-0.7448653,-0.07134758,-0.13911125,0.042906627,0.74903166,-1.7564118,0.77068037,-0.8213727,0.45686793,1.4175074,0.95320994,0.32387733,-0.5917776,-1.1932977,-1.0869284,-0.4422332,-0.10853723,-0.45312414,-0.94623923,0.68925434,-0.8473583,-0.92526644,0.631651,0.18159744,1.1507541,-0.7890402,-0.19118232,-1.2192008,-1.1163481,2.3273256,1.1301218,-1.4225881,0.21312295,-0.03897238,-1.2721058,0.48252314,-0.77674645,-0.2620497,-0.7862775,-1.6528106,1.6681577,0.35136455,1.1541561,-1.0882161,-2.0503185,1.3725219,0.25281683,0.62806016,0.75886446,-1.1932403,-0.34360588,-0.3466492,-0.0969039,-1.8714134,-0.96930975,-0.8949969,-0.14965063,3.09188,0.60601664,-0.74040675,-0.5798178,-0.091716826,-0.5153897,0.47020903,-0.44665563,0.1022852,1.5016669,-0.03556559,-0.08481642,0.48361778,-0.59087294,-0.4147599,-0.12196866,-0.5634906,-0.4491401,-0.5140874
